"","f[i]","label","Label","TotalOrTargetOverlap","UnionOverlap","MeanOverlap","VolumeSimilarity","FalseNegativeError","FalsePositiveError","Label","TotalOrTargetOverlap","UnionOverlap","MeanOverlap","VolumeSimilarity","FalseNegativeError","FalsePositiveError"
"1","Scan_0005__rec-18um-tx-simple-label.nrrd",1,"All",0.940248514316586,0.922603901611535,0.959744127054152,-0.0414690636373663,0.0597514856834144,1.04179928271237e-05,"All",0.899621826039978,0.887065842744513,0.940153568202349,-0.0901084010840108,0.100378173960022,7.71049186640225e-06
"2","Scan_0005__rec-18um-tx-simple-label.nrrd",2,"All",0.918457105303069,0.878105364910585,0.935097019918678,-0.03623449482732,0.0815428946969314,5.35357412323739e-05,"All",0.870532329002578,0.837060081664398,0.911303979678239,-0.0936706181202371,0.129467670997422,4.65861070569942e-05
"3","Scan_0005__rec-18um-tx-simple-label.nrrd",3,"All",0.926815642458101,0.869269059470789,0.930063069376314,-0.00700770847932726,0.0731843575418994,1.39448579130773e-05,"All",0.884078212290503,0.859120521172638,0.924222514235655,-0.090816177544167,0.115921787709497,6.11926254413518e-06
"4","Scan_0005__rec-18um-tx-simple-label.nrrd",4,"All",0.849681216282491,0.793632615666514,0.884944451538756,-0.0830034478355255,0.150318783717509,1.6946146675725e-05,"All",0.820009808729769,0.762599771949829,0.865312459567861,-0.110492948635011,0.17999019127023,1.80641216300263e-05
"5","Scan_0005__rec-18um-tx-simple-label.nrrd",5,"All",0.932145606510503,0.909344490934449,0.952520087655223,-0.0437152329044221,0.0678543934894974,1.34196594125756e-05,"All",0.928186517101067,0.890953235511454,0.942332384301904,-0.0304806565064478,0.0718134828989332,2.23660990209593e-05
"6","Scan_0005__rec-18um-tx-simple-label.nrrd",6,"All",0.973309030534902,0.928926360027214,0.963153782619372,0.0208674688037145,0.0266909694650978,0.000313531263241441,"All",0.946266151736086,0.90901132049304,0.952337276091448,-0.0128317479056462,0.053733848263914,0.000268944097760647
"7","Scan_0005__rec-18um-tx-simple-label.nrrd",7,"All",0.946236559139785,0.864157119476268,0.927129060579456,0.0403863037752414,0.0537634408602151,3.11791593322106e-06,"All",0.829749103942652,0.796901893287435,0.886973180076628,-0.137931034482759,0.170250896057348,1.35305785781292e-06
"8","Scan_0005__rec-18um-tx-simple-label.nrrd",8,"All",0.909473684210526,0.798521256931608,0.8879753340185,0.0472764645426516,0.0905263157894737,3.88266880770359e-06,"All",0.873684210526316,0.799614643545279,0.88865096359743,-0.0342612419700214,0.126315789473684,2.58844587180239e-06
"9","Scan_0005__rec-18um-tx-simple-label.nrrd",9,"All",0.913875598086124,0.801678908709339,0.889924286546302,0.052417006406523,0.0861244019138756,6.88305906205907e-06,"All",0.87799043062201,0.796095444685466,0.886473429951691,-0.0193236714975845,0.12200956937799,5.05934255843658e-06
"10","Scan_0005__rec-18um-tx-simple-label.nrrd",10,"All",0.946434782608696,0.890671031096563,0.942174515235457,0.00900277008310249,0.0535652173913043,1.05905920123284e-05,"All",0.739826086956522,0.68042226487524,0.809822958309537,-0.189225204644965,0.260173913043478,1.4767992194969e-05
"11","Scan_0005__rec-18um-tx-simple-label.nrrd",11,"All",0.976195536663124,0.935152193830805,0.966489557577989,0.0198853174811931,0.0238044633368757,2.43088717022485e-05,"All",0.919128586609989,0.875404858299595,0.933563603000702,-0.031410221814453,0.0808714133900106,2.76638491526798e-05
"12","Scan_0005__rec-18um-tx-simple-label.nrrd",12,"All",0.919605077574048,0.863576158940397,0.926794598436389,-0.015636105188344,0.080394922425952,2.70613975458725e-06,"All",0.806770098730606,0.755614266842801,0.860797592174567,-0.133935289691497,0.193229901269394,2.82379800478669e-06
"13","Scan_0005__rec-18um-tx-simple-label.nrrd",13,"All",0.905775075987842,0.851428571428571,0.919753086419753,-0.0308641975308642,0.0942249240121581,2.47081584103571e-06,"All",0.782674772036474,0.733618233618234,0.846343467543139,-0.162695152013147,0.217325227963526,2.58847373822789e-06
"14","Scan_0005__rec-18um-tx-simple-label.nrrd",14,"All",0.977080709911422,0.951424514114139,0.975107678757478,0.00403862471939077,0.0229192900885775,0.000298038465578312,"All",0.958283555584256,0.932295320565846,0.964961525956432,-0.0139373577544164,0.0417164444157438,0.000308090052224238
"15","Scan_0005__rec-18um-tx-simple-label.nrrd",15,"All",0.947743778761641,0.864965465076932,0.927594082865498,0.042521399449271,0.052256221238359,0.000258829565391066,"All",0.928354888661098,0.889292802674188,0.941402837522531,-0.028109829593834,0.0716451113389021,0.00011879734382352
"16","Scan_0005__rec-18um-tx-simple-label.nrrd",16,"All",0.774656679151061,0.617412935323383,0.763457397723777,0.0289141802522301,0.225343320848939,7.20242086075284e-05,"All",0.845401581356638,0.675029074597109,0.805990874826423,0.0932354691529458,0.154598418643362,7.13769322229837e-05
"17","Scan_0006__rec-18um-tx-simple-label.nrrd",1,"All",0.988912636922255,0.904791004644341,0.950016041065127,0.0786653833814565,0.0110873630777451,4.09614017650833e-05,"All",0.989179802297622,0.87726572680962,0.934620724473053,0.11031175059952,0.0108201977023778,5.62042222495037e-05
"18","Scan_0006__rec-18um-tx-simple-label.nrrd",2,"All",0.949302416977795,0.880070439640515,0.936210070734149,0.0275830884015374,0.0506975830222048,7.07143414395756e-05,"All",0.929062684220869,0.774489461614066,0.872915256323466,0.120868976552403,0.0709373157791315,0.000179405993643952
"19","Scan_0006__rec-18um-tx-simple-label.nrrd",3,"All",0.929091928251121,0.888263665594855,0.940825883354619,-0.0252589754505463,0.0709080717488789,9.64959950631708e-06,"All",0.899943946188341,0.802549362659335,0.890460343871326,0.0210759844703272,0.100056053811659,2.54772962575323e-05
"20","Scan_0006__rec-18um-tx-simple-label.nrrd",4,"All",0.894946808510638,0.867939128191901,0.929301297983982,-0.0767743717205192,0.105053191489362,6.88424327338825e-06,"All",0.884308510638298,0.822409102151867,0.902551574375679,-0.0412595005428882,0.115691489361702,1.66516311655459e-05
"21","Scan_0006__rec-18um-tx-simple-label.nrrd",5,"All",0.980956892468025,0.857971494862446,0.923557220586924,0.117027919008117,0.0190431075319754,8.90600526696325e-05,"All",0.898910468972051,0.802367864693446,0.890348613522263,0.0190494064655375,0.101089531027949,7.4756290079599e-05
"22","Scan_0006__rec-18um-tx-simple-label.nrrd",6,"All",0.963000469023153,0.894899505700786,0.944535056353637,0.038349748029191,0.0369995309768473,0.000422294099831532,"All",0.954739265765574,0.835013005416593,0.910089468523439,0.0935329651626539,0.0452607342344263,0.000795668572185731
"23","Scan_0006__rec-18um-tx-simple-label.nrrd",7,"All",0.898989898989899,0.87041564792176,0.930718954248366,-0.0705882352941176,0.101010101010101,7.64764544292103e-07,"All",0.944444444444444,0.775933609958506,0.873831775700935,0.149532710280374,0.0555555555555556,5.05921160070161e-06
"24","Scan_0006__rec-18um-tx-simple-label.nrrd",8,"All",0.881720430107527,0.766355140186916,0.867724867724868,0.0317460317460317,0.118279569892473,3.29436569341692e-06,"All",0.913978494623656,0.758928571428571,0.862944162436548,0.111675126903553,0.0860215053763441,4.47092486963724e-06
"25","Scan_0006__rec-18um-tx-simple-label.nrrd",9,"All",0.915119363395225,0.793103448275862,0.884615384615385,0.0666666666666667,0.0848806366047745,6.82419657733597e-06,"All",0.897877984084881,0.780853517877739,0.876943005181347,0.0466321243523316,0.102122015915119,6.64770873481866e-06
"26","Scan_0006__rec-18um-tx-simple-label.nrrd",10,"All",0.966216216216216,0.774135338345865,0.872690286489236,0.193592134260044,0.0337837837837838,3.88905245266829e-05,"All",0.860735735735736,0.706625577812019,0.828096785843265,0.075839653304442,0.139264264264264,3.41836531770087e-05
"27","Scan_0006__rec-18um-tx-simple-label.nrrd",11,"All",0.968207465277778,0.930157406442197,0.963815078850724,0.00907323395981854,0.0317925347222222,2.21896851984087e-05,"All",0.972113715277778,0.903762735801473,0.949448919033489,0.0466299279355659,0.0278862847222222,4.10244312554135e-05
"28","Scan_0006__rec-18um-tx-simple-label.nrrd",12,"All",0.952741020793951,0.893617021276596,0.943820224719101,0.0187265917602996,0.0472589792060491,2.05899757526563e-06,"All",0.943289224952741,0.869337979094077,0.930102516309413,0.0279589934762349,0.056710775047259,2.64728259677009e-06
"29","Scan_0006__rec-18um-tx-simple-label.nrrd",13,"All",0.964656964656965,0.90272373540856,0.948875255623722,0.032719836400818,0.0353430353430353,1.94133508908463e-06,"All",0.860706860706861,0.699324324324324,0.823061630218688,0.0874751491053678,0.139293139293139,6.52994529964831e-06
"30","Scan_0006__rec-18um-tx-simple-label.nrrd",14,"All",0.977739476077656,0.954943247244613,0.976952398582981,0.0016099943061177,0.0222605239223436,0.00025277965473343,"All",0.917756767985268,0.844486805943008,0.915687554090427,0.004509286048381,0.0822432320147318,0.000918733956785142
"31","Scan_0006__rec-18um-tx-simple-label.nrrd",15,"All",0.974038640163478,0.902608022034774,0.948811328010134,0.0517994073604922,0.0259613598365224,0.00020099046781475,"All",0.963658740479287,0.888420286442166,0.940913728602199,0.0472055322525791,0.0363412595207134,0.000215085750035327
"32","Scan_0006__rec-18um-tx-simple-label.nrrd",16,"All",0.831315892229598,0.723042961453558,0.839262836306297,-0.0191189514142111,0.168684107770402,4.51336562321812e-05,"All",0.841468176493557,0.700699073321411,0.824013000669152,0.0414874295000478,0.158531823506443,6.05508895214008e-05
"33","Scan_0009__rec-18um-tx-simple-label.nrrd",1,"All",0.914557459518944,0.906576281751597,0.950999223507295,-0.0796926723609465,0.0854425404810564,6.59352174714197e-06,"All",0.885080962112875,0.877698963286304,0.934866536593466,-0.112499481090954,0.114919037887125,6.29916809771599e-06
"34","Scan_0009__rec-18um-tx-simple-label.nrrd",2,"All",0.932280526100214,0.877865866723805,0.934961204929256,-0.00575079872204473,0.0677194738997861,8.02256260323085e-05,"All",0.87926091111819,0.795487297731297,0.886096268947646,-0.0155479624830876,0.120739088881809,0.000136301100322145
"35","Scan_0009__rec-18um-tx-simple-label.nrrd",3,"All",0.943003219087294,0.856995353639649,0.922991381706978,0.0424427763877305,0.0569967809127059,3.11878247910372e-05,"All",0.805718613898883,0.752830856334041,0.858988593923488,-0.132229736549914,0.194281386101117,2.1831477353726e-05
"36","Scan_0009__rec-18um-tx-simple-label.nrrd",4,"All",0.92426273458445,0.830556113230275,0.907435841193244,0.0364114937486291,0.0757372654155496,2.97152933611445e-05,"All",0.926496872207328,0.826424870466321,0.904964539007092,0.046481178396072,0.073503127792672,3.18924534687927e-05
"37","Scan_0009__rec-18um-tx-simple-label.nrrd",5,"All",0.968478757423481,0.869636557551891,0.930273377506692,0.078897713809294,0.031521242576519,7.32275274048429e-05,"All",0.928460484239379,0.761712015591035,0.864740671403651,0.13725907330979,0.0715395157606213,0.000141039514197752
"38","Scan_0009__rec-18um-tx-simple-label.nrrd",6,"All",0.966092768574239,0.887847340849562,0.940592304937131,0.0527909212585066,0.0339072314257611,0.000674511965785367,"All",0.960408002044657,0.876304687334374,0.934075039357623,0.0548370330754687,0.0395919979553428,0.000734559476229218
"39","Scan_0009__rec-18um-tx-simple-label.nrrd",7,"All",0.905154639175258,0.857421875,0.923238696109359,-0.0399579390115668,0.0948453608247423,1.58836544665101e-06,"All",0.909278350515464,0.790322580645161,0.882882882882883,0.0580580580580581,0.0907216494845361,4.29446954094533e-06
"40","Scan_0009__rec-18um-tx-simple-label.nrrd",8,"All",0.944444444444444,0.866962305986696,0.92874109263658,0.0332541567695962,0.0555555555555556,2.17663985399335e-06,"All",0.954106280193237,0.842217484008529,0.914351851851852,0.0833333333333333,0.0458937198067633,3.23554572890904e-06
"41","Scan_0009__rec-18um-tx-simple-label.nrrd",9,"All",0.885521885521885,0.790581162324649,0.883044208170118,0.00559597090095131,0.114478114478114,6.29478378329566e-06,"All",0.785634118967452,0.624442462087422,0.768808347062054,0.042833607907743,0.214365881032548,1.35308436463365e-05
"42","Scan_0009__rec-18um-tx-simple-label.nrrd",10,"All",0.985468956406869,0.785263157894737,0.879716981132076,0.214622641509434,0.0145310435931308,4.54222812999527e-05,"All",0.938243064729194,0.628957272526013,0.772220712150041,0.353900516444686,0.0617569352708058,8.76085192430436e-05
"43","Scan_0009__rec-18um-tx-simple-label.nrrd",11,"All",0.946665781083953,0.922046836589468,0.959442630675507,-0.0269933694591229,0.0533342189160468,2.36692856750892e-05,"All",0.849561636556854,0.803656697662729,0.891141533423904,-0.0978855331452259,0.150438363443146,5.06357852750665e-05
"44","Scan_0009__rec-18um-tx-simple-label.nrrd",12,"All",0.903225806451613,0.871447902571042,0.931308749096168,-0.0621836587129429,0.0967741935483871,1.52955761252294e-06,"All",0.931276297335203,0.823821339950372,0.903401360544218,0.0598639455782313,0.0687237026647966,5.47110992171665e-06
"45","Scan_0009__rec-18um-tx-simple-label.nrrd",13,"All",0.867388362652233,0.842312746386334,0.914407988587732,-0.108416547788873,0.132611637347767,1.29424303636946e-06,"All",0.807848443843031,0.744389027431421,0.853466761972838,-0.112937812723374,0.192151556156969,3.70624142233074e-06
"46","Scan_0009__rec-18um-tx-simple-label.nrrd",14,"All",0.960961992926212,0.94986883224114,0.974289979443776,-0.0277388421512477,0.0390380070737884,0.000131410320665573,"All",0.82933560314884,0.650745253236759,0.788426017837443,0.0986562862032483,0.17066439685116,0.00308805330273874
"47","Scan_0009__rec-18um-tx-simple-label.nrrd",15,"All",0.912539116222519,0.886923672994963,0.940073714361981,-0.0603472172315021,0.087460883777481,8.54921679085058e-05,"All",0.964202427697275,0.917844606773551,0.957162643450732,0.0146022952117135,0.0357975723027247,0.000149508042429368
"48","Scan_0009__rec-18um-tx-simple-label.nrrd",16,"All",0.764405204460966,0.602858538968971,0.752229250819297,0.031857327947565,0.235594795539033,0.000101808807062071,"All",0.825898389095415,0.730711251199123,0.844405732837121,-0.0448174835695621,0.174101610904585,4.94920270168795e-05
"49","Scan_0010__rec-18um-tx-simple-label.nrrd",1,"All",0.957349263684357,0.922984195017412,0.959949850247266,-0.00543288987950129,0.0426507363156432,1.5772226451036e-05,"All",0.972770213948319,0.9054700633648,0.950390227349847,0.0460128944689515,0.027229786051681,3.14856013108368e-05
"50","Scan_0010__rec-18um-tx-simple-label.nrrd",2,"All",0.963396361041741,0.883291901085961,0.938029734611644,0.0526608309017646,0.036603638958259,7.4830393762713e-05,"All",0.948555119514806,0.815682905878022,0.898486077318194,0.105569072722357,0.0514448804851944,0.000134412107757887
"51","Scan_0010__rec-18um-tx-simple-label.nrrd",3,"All",0.923873121869783,0.891143317230274,0.942438692098093,-0.0401907356948229,0.076126878130217,6.47207414737631e-06,"All",0.837061769616027,0.689493949394939,0.816213576428455,0.0498127950512779,0.162938230383973,3.77145411678928e-05
"52","Scan_0010__rec-18um-tx-simple-label.nrrd",4,"All",0.872768581629341,0.825859950859951,0.904625735912532,-0.0730025231286796,0.127231418370659,1.02965336984072e-05,"All",0.806231742940604,0.621155288822205,0.766311892642295,0.0990282276723739,0.193768257059396,5.40126739150734e-05
"53","Scan_0010__rec-18um-tx-simple-label.nrrd",5,"All",0.973520853540252,0.861101578586136,0.925367630111096,0.098925920803946,0.0264791464597478,7.92287522436865e-05,"All",0.948011639185257,0.909801731359955,0.95277087293464,-0.010040454257445,0.051988360814743,2.54874069253464e-05
"54","Scan_0010__rec-18um-tx-simple-label.nrrd",6,"All",0.967285640598341,0.914182322720966,0.955167448648755,0.0250560774211243,0.0327143594016585,0.000346544145321299,"All",0.962821886283379,0.893429796947773,0.943715788552595,0.0396877096438607,0.037178113716621,0.000463360768078171
"55","Scan_0010__rec-18um-tx-simple-label.nrrd",7,"All",0.920096852300242,0.88785046728972,0.940594059405941,-0.0445544554455446,0.0799031476997579,8.82421510518553e-07,"All",0.924939467312349,0.84326710816777,0.91497005988024,0.0215568862275449,0.0750605326876513,2.35312402804947e-06
"56","Scan_0010__rec-18um-tx-simple-label.nrrd",8,"All",0.891025641025641,0.783098591549296,0.878357030015798,0.028436018957346,0.108974358974359,2.52959330022508e-06,"All",0.913461538461538,0.77027027027027,0.870229007633588,0.0946564885496183,0.0865384615384615,3.41200956774545e-06
"57","Scan_0010__rec-18um-tx-simple-label.nrrd",9,"All",0.858773181169758,0.762991128010139,0.865564342199856,-0.0158159597411934,0.141226818830243,5.17696057232711e-06,"All",0.863052781740371,0.695402298850575,0.820338983050848,0.0989830508474576,0.136947218259629,9.94211746276456e-06
"58","Scan_0010__rec-18um-tx-simple-label.nrrd",10,"All",0.917174177831912,0.803057234269463,0.89077287066246,0.0575709779179811,0.0828258221680877,2.05923186297706e-05,"All",0.822574096630126,0.681008403361344,0.810237952409518,0.02999400119976,0.177425903369874,3.01236203955502e-05
"59","Scan_0010__rec-18um-tx-simple-label.nrrd",11,"All",0.934240119952876,0.906756756756757,0.951098511693834,-0.0360900616038816,0.0657598800471243,1.665709717415e-05,"All",0.940451965299347,0.847505067078467,0.917458990701076,0.0488977118378435,0.0595480347006533,6.02716166301398e-05
"60","Scan_0010__rec-18um-tx-simple-label.nrrd",12,"All",0.922256097560976,0.897626112759644,0.946051602814699,-0.0516028146989836,0.0777439024390244,1.05892095013918e-06,"All",0.855182926829268,0.795744680851064,0.886255924170616,-0.0726698262243286,0.144817073170732,2.88261814204554e-06
"61","Scan_0010__rec-18um-tx-simple-label.nrrd",13,"All",0.906360424028269,0.852159468438538,0.920179372197309,-0.0304932735426009,0.0936395759717314,2.11783068720194e-06,"All",0.84452296819788,0.788778877887789,0.881918819188192,-0.0885608856088561,0.15547703180212,2.35314520800215e-06
"62","Scan_0010__rec-18um-tx-simple-label.nrrd",14,"All",0.980362844113778,0.956903377598806,0.977977133212333,0.00486699575727448,0.0196371558862215,0.000251448443471139,"All",0.896854230767002,0.838080180199692,0.911908184667594,-0.0335705700751773,0.103145769232998,0.000719281614590214
"63","Scan_0010__rec-18um-tx-simple-label.nrrd",15,"All",0.960145832292863,0.90472717005106,0.949980852141472,0.0211738254950648,0.0398541677071368,0.000144642570106833,"All",0.957099335763872,0.895660505222817,0.944958765301217,0.0253695097447024,0.0429006642361285,0.000161978450910505
"64","Scan_0010__rec-18um-tx-simple-label.nrrd",16,"All",0.85278080697928,0.744998412194347,0.853867151956324,-0.00254777070063694,0.14721919302072,4.68411912962476e-05,"All",0.808069792802617,0.714790996784566,0.833677104819051,-0.0633789611850741,0.191930207197383,4.2251225314957e-05
"65","Scan_0011__rec-18um-tx-simple-label.nrrd",1,"All",0.941266598569969,0.920119820269596,0.958398335933437,-0.0364014560582423,0.0587334014300306,1.32436282550042e-05,"All",0.924719101123595,0.88667972575906,0.939936666147537,-0.0329128380833723,0.0752808988764045,2.47214394093412e-05
"66","Scan_0011__rec-18um-tx-simple-label.nrrd",2,"All",0.945383411580595,0.888905238375515,0.941185635273039,0.00888057957466698,0.0546165884194053,7.17317782731864e-05,"All",0.894053208137715,0.815754402665397,0.898529450313245,-0.010013368633516,0.105946791862285,0.000108363277522712
"67","Scan_0011__rec-18um-tx-simple-label.nrrd",3,"All",0.89351481184948,0.87170474516696,0.931455399061033,-0.084924360980699,0.10648518815052,7.35549569685849e-06,"All",0.824259407526021,0.774351259872132,0.872827469266638,-0.117846545146248,0.175740592473979,1.89477569151075e-05
"68","Scan_0011__rec-18um-tx-simple-label.nrrd",4,"All",0.926479882030756,0.848052448900887,0.917779632721202,0.0187813021702838,0.0735201179692437,2.58321223913013e-05,"All",0.916157573204129,0.855597088333661,0.922179813401187,-0.0131467345207803,0.0838424267958711,1.9771282741406e-05
"69","Scan_0011__rec-18um-tx-simple-label.nrrd",5,"All",0.972315364113146,0.915634361590155,0.955959425190195,0.033643279797126,0.0276846358868541,4.2384203266162e-05,"All",0.905081248387929,0.884919300605245,0.938946617312581,-0.0748338759309637,0.0949187516120712,1.55997414799069e-05
"70","Scan_0011__rec-18um-tx-simple-label.nrrd",6,"All",0.979540989462404,0.911242554393427,0.953560344602759,0.0530465700550286,0.020459010537596,0.000497006237656267,"All",0.96343989998214,0.885196672081918,0.939102731498407,0.0505214045716474,0.0365601000178603,0.000586127456251845
"71","Scan_0011__rec-18um-tx-simple-label.nrrd",7,"All",0.862068965517241,0.833333333333333,0.909090909090909,-0.109090909090909,0.137931034482759,1.00008241855696e-06,"All",0.920892494929006,0.871401151631478,0.931282051282051,-0.0225641025641026,0.0791075050709939,1.64719457174088e-06
"72","Scan_0011__rec-18um-tx-simple-label.nrrd",8,"All",0.897560975609756,0.853828306264501,0.921151439299124,-0.0525657071339174,0.102439024390244,1.23538989669905e-06,"All",0.924390243902439,0.861363636363636,0.925518925518925,-0.00244200244200244,0.075609756097561,1.76484270957007e-06
"73","Scan_0011__rec-18um-tx-simple-label.nrrd",9,"All",0.912442396313364,0.856216216216216,0.922539312754805,-0.0221316249271986,0.0875576036866359,3.35329149680578e-06,"All",0.850230414746544,0.753830439223698,0.859638905066977,-0.0221316249271986,0.149769585253456,6.53009396746389e-06
"74","Scan_0011__rec-18um-tx-simple-label.nrrd",10,"All",0.923594749242679,0.844827586206897,0.91588785046729,0.0166889185580774,0.0764052507573208,1.62978364298536e-05,"All",0.870414002019522,0.781032920567804,0.877056130235713,-0.0152619976259115,0.129585997980478,2.00045645709395e-05
"75","Scan_0011__rec-18um-tx-simple-label.nrrd",11,"All",0.960616273471353,0.938652615732029,0.968355659095321,-0.0161133760434867,0.0393837265286471,1.43036194573254e-05,"All",0.954357246027925,0.9129513633014,0.954495112438003,-0.000288919921028555,0.0456427539720751,2.77242994419764e-05
"76","Scan_0011__rec-18um-tx-simple-label.nrrd",12,"All",0.930574098798398,0.88676844783715,0.939986513823331,-0.0202292650033715,0.0694259012016021,2.17668275078341e-06,"All",0.805073431241656,0.698725376593279,0.822646657571623,-0.043656207366985,0.194926568758344,6.7065360429543e-06
"77","Scan_0011__rec-18um-tx-simple-label.nrrd",13,"All",0.965065502183406,0.908219178082192,0.951902368987796,0.0272792534099067,0.0349344978165939,2.52964910531312e-06,"All",0.874818049490539,0.804551539491299,0.891691394658754,-0.0385756676557863,0.125181950509461,3.52974293764621e-06
"78","Scan_0011__rec-18um-tx-simple-label.nrrd",14,"All",0.986600006614559,0.958251465588778,0.978680708200737,0.0160537165228612,0.0133999933854414,0.000319128554876257,"All",0.976231685940756,0.932264415130492,0.964944971123461,0.0231230249536886,0.0237683140592444,0.000508750496650131
